incorrect,correct
recieve,receive
recieveing,receiving
seperate,separate
definately,definitely
occured,occurred
accomodate,accommodate
adress,address
beleive,believe
begining,beginning
calender,calendar
comming,coming
enviroment,environment
goverment,government
independant,independent
necesary,necessary
possesion,possession
pronounciation,pronunciation
recomend,recommend
sucess,success
tommorow,tomorrow
untill,until
wich,which
wierd,weird
writting,writing
acheive,achieve
arguement,argument
beautifull,beautiful
bussiness,business
concious,conscious
dissapear,disappear
embarass,embarrass
existance,existence
familar,familiar
finaly,finally
freind,friend
happend,happened
knowlege,knowledge
liason,liaison
maintanance,maintenance
millenium,millennium
neccessary,necessary
occassion,occasion
oportunity,opportunity
persue,pursue
questionaire,questionnaire
restaraunt,restaurant
rythym,rhythm
satisfed,satisfied
temprature,temperature
thier,their
truely,truly
vaccum,vacuum
wednesday,Wednesday
altho,although
becuase,because
doesnt,doesn't
didnt,didn't
couldnt,couldn't
wouldnt,wouldn't
shouldnt,shouldn't
youve,you've
youre,you're
im,I'm
isnt,isn't
cant,can't
alot,a lot
dont,don't
langauge,language
lonly,lonely
peice,piece
priviledge,privilege
sucessful,successful
temprary,temporary
throught,through
usefull,useful
vegtable,vegetable
wheather,weather
wheter,whether
buisness,business
caluculate,calculate
colleage,college
comparision,comparison
diffrent,different
examle,example
experiance,experience
librery,library
programm,program
pyhton,Python
jupyterr,Jupyter
maching,machine
learnig,learning
computar,computer
algoritm,algorithm
developement,development
